round,node_id,stake,reputation,train_acc,train_loss,val_acc,val_loss,reward,stake_penalty,rep_penalty,is_committee,is_malicious,detected
1,0,100.0,55.261264171041425,0.9976294675419402,0.014571890234947205,0.9577,0.15173089802265166,0.0,0.0,0.0,0,0,0
1,1,100.0,53.257256218081615,0.9861786536984899,0.04990587383508682,0.0891,25.12656898498535,0.0,0.0,0.0,0,1,0
1,2,100.0,54.52386411647059,0.9768605378361476,0.07500392198562622,0.6143,1.9717554092407226,0.0,0.0,0.0,0,0,0
1,3,100.0,54.7138700957924,0.9355355997434253,0.16497819125652313,0.6988,1.7309455633163453,0.0,0.0,0.0,0,0,0
1,4,100.0,54.86661670861581,0.9835182250396196,0.04693634435534477,0.7685,1.2582305192947387,0.0,0.0,0.0,0,0,0
1,5,100.0,54.93054658602399,0.9953316953316953,0.024184757843613625,0.7982,1.3494235515594482,0.0,0.0,0.0,0,0,0
1,6,100.0,54.636012709691286,0.8107101280558789,1.2844693660736084,0.6639,2.36352481842041,0.0,0.0,0.0,0,0,0
1,7,100.0,53.271476130676206,0.9241071428571429,0.24865728616714478,0.0948,24.931483840942384,0.0,0.0,0.0,0,1,0
1,8,100.0,55.04682380159274,0.9936575052854123,0.025442350655794144,0.8531,0.5178920984268188,0.0,0.0,0.0,0,0,0
1,9,100.0,53.31461035564116,0.9544179523141655,0.15377354621887207,0.1121,24.510433197021484,0.0,0.0,0.0,0,1,0
1,10,100.0,53.31934521094776,0.9875231053604436,0.037952229380607605,0.114,24.364198303222658,0.0,0.0,0.0,0,1,0
1,11,100.0,54.63197312965188,0.9895104895104895,0.0450490340590477,0.6621,2.4279833316802977,0.0,0.0,0.0,0,0,0
1,12,100.0,54.70610245745244,0.9936778449697636,0.01912846975028515,0.6953,1.1948775768280029,0.0,0.0,0.0,0,0,0
1,13,100.0,53.28594157390739,0.9759472817133443,0.0752609521150589,0.1006,24.846320343017577,0.0,0.0,0.0,0,1,0
1,14,100.0,54.911248757979195,0.9820567755757901,0.05745890364050865,0.7892,0.7295791268348694,0.0,0.0,0.0,0,0,0
1,15,100.0,53.292424728793364,0.9634218289085545,0.1190129742026329,0.1032,24.748508071899415,0.0,0.0,0.0,0,1,0
1,16,100.0,53.31909602073244,0.9841915085817525,0.06496182084083557,0.1139,24.355736923217773,0.0,0.0,0.0,0,1,0
1,17,100.0,54.79082032917167,0.9742857142857143,0.09567854553461075,0.7337,0.864394462108612,0.0,0.0,0.0,0,0,0
1,18,100.0,53.31535799808051,0.9898574561403509,0.0395815409719944,0.1124,24.3627571105957,0.0,0.0,0.0,0,1,0
1,19,100.0,54.73733914724399,0.8881987577639752,0.33480390906333923,0.7094,1.3998306035995483,0.0,0.0,0.0,0,0,0
2,0,100.0,59.92635529421599,0.9956236323851203,0.020246872678399086,0.9547,0.1596939116716385,0.0,0.0,0.0,0,0,0
2,1,100.0,56.04421834439866,0.9897619657025851,0.03197799623012543,0.0419,26.425881958007814,0.0,0.0,0.0,0,1,0
2,2,100.0,58.504159616199374,0.9774859287054409,0.07619929313659668,0.5964,2.1245670318603516,0.0,0.0,0.0,1,0,0
2,3,100.0,59.04660249482762,0.9906991661321359,0.036173950880765915,0.7645,1.1922927379608155,0.0,0.0,0.0,0,0,0
2,4,100.0,59.10532418650691,0.9825673534072901,0.051602501422166824,0.7297,1.5178656578063965,0.0,0.0,0.0,0,0,0
2,5,100.0,59.054786775929756,0.8687960687960687,0.418600857257843,0.6814,1.9698611974716187,0.0,0.0,0.0,0,0,0
2,6,100.0,59.163918136542165,0.9948777648428405,0.023395607247948647,0.8517,0.5018716096878052,0.0,0.0,0.0,0,0,0
2,7,100.0,56.190585417696205,0.985969387755102,0.04176199808716774,0.0955,24.945982360839842,0.0,0.0,0.0,0,1,0
2,8,100.0,59.49508946331437,0.9876170341286621,0.03738919645547867,0.837,0.5557027578353881,0.0,0.0,0.0,1,0,0
2,9,100.0,56.3824751722251,0.9495091164095372,0.14884456992149353,0.1573,23.207331085205077,0.0,0.0,0.0,0,1,0
2,10,100.0,56.25546903509511,0.9944547134935305,0.019843030720949173,0.1046,24.681355667114257,0.0,0.0,0.0,0,1,0
2,11,100.0,58.781586002296905,0.9765234765234765,0.0850173756480217,0.6769,1.929089641571045,0.0,0.0,0.0,0,0,0
2,12,100.0,58.87768324127408,0.9931280923584387,0.020828595384955406,0.6907,1.1651103258132935,0.0,0.0,0.0,0,0,0
2,13,100.0,56.222038741702754,0.9911037891268534,0.0313798189163208,0.103,24.787971115112306,0.0,0.0,0.0,1,1,0
2,14,100.0,59.33049536635658,0.9930369576861274,0.0298598762601614,0.8157,0.6594957113265991,0.0,0.0,0.0,0,0,0
2,15,100.0,56.23124342366894,0.9817109144542773,0.061527714133262634,0.1044,24.659902572631836,0.0,0.0,0.0,0,1,0
2,16,100.0,56.295869947651326,0.9607046070460704,0.1282154768705368,0.1209,24.213853073120116,0.0,0.0,0.0,0,1,0
2,17,100.0,58.875637329840586,0.97,0.1132873073220253,0.6564,1.0223820090293885,0.0,0.0,0.0,0,0,0
2,18,100.0,56.230508830372194,0.9895833333333334,0.03538666293025017,0.096,24.850688552856447,0.0,0.0,0.0,0,1,0
2,19,100.0,58.83074905978362,0.9565217391304348,0.1605316698551178,0.6574,1.7946353912353517,0.0,0.0,0.0,0,0,0
3,0,100.0,64.0425075956189,0.9850474106491612,0.043852757662534714,0.9371,0.21793294250965117,8.8388745454691,0.0,0.0,0,0,0
3,1,80.0,28.02210917219933,0.9749168159713335,0.1028885766863823,0.0985,24.853239822387696,0.0,0.8,0.5,0,1,1
3,2,100.0,62.10808234277475,0.9731081926203877,0.08806479722261429,0.6213,2.046486473083496,26.018462764697993,0.0,0.0,0,0,0
3,3,100.0,62.88928626911999,0.968890314304041,0.09672953188419342,0.7574,1.28029625415802,6.714503180850518,0.0,0.0,1,0,0
3,4,100.0,62.87487693710212,0.936608557844691,0.16261103749275208,0.7271,1.2058098316192627,7.285878702849256,0.0,0.0,0,0,0
3,5,100.0,62.89715703356036,0.9837837837837838,0.05373631417751312,0.7577,1.5951073884963989,7.529473519124596,0.0,0.0,0,0,0
3,6,100.0,63.05975018783599,0.9818393480791618,0.05487297102808952,0.7884,0.8503075361251831,6.42856411952198,0.0,0.0,1,0,0
3,7,80.0,28.095292708848103,0.9866071428571429,0.04674050211906433,0.09,25.129298400878906,0.0,0.8,0.5,0,1,1
3,8,100.0,63.459946395648934,0.987012987012987,0.04217776283621788,0.8392,0.5451853752136231,27.976034012498815,0.0,0.0,0,0,0
3,9,80.0,28.19123758611255,0.7636746143057503,0.7658652067184448,0.1288,23.999338912963868,0.0,0.8,0.5,1,1,1
3,10,80.0,28.127734517547555,0.9932994454713494,0.031791020184755325,0.0953,24.92486572265625,0.0,0.8,0.5,0,1,1
3,11,100.0,62.32271428069341,0.9145854145854145,0.29283180832862854,0.6081,2.686567258834839,6.41381947301265,0.0,0.0,0,0,0
3,12,100.0,62.56063319515134,0.9843320505772403,0.044427670538425446,0.6759,1.180581521987915,6.685822503589977,0.0,0.0,0,0,0
3,13,80.0,28.111019370851377,0.8797364085667215,0.39268365502357483,0.1044,24.65806007385254,0.0,0.8,0.5,0,1,1
3,14,100.0,63.244152326840755,0.9809855382967327,0.06327386945486069,0.8059,0.7211079955101013,7.455649172330058,0.0,0.0,0,0,0
3,15,80.0,28.11562171183447,0.9699115044247788,0.07941827178001404,0.1513,23.42673683166504,0.0,0.8,0.5,0,1,1
3,16,80.0,28.147934973825663,0.971996386630533,0.09369532018899918,0.137,23.764484786987303,0.0,0.8,0.5,0,1,1
3,17,100.0,62.480619305067385,0.7721428571428571,0.6987151503562927,0.6411,1.2810765981674195,7.000548767505966,0.0,0.0,0,0,0
3,18,80.0,28.115254415186097,0.9846491228070176,0.05461170896887779,0.1011,24.826464080810545,0.0,0.8,0.5,0,1,1
3,19,100.0,62.27379006043345,0.8397515527950311,0.48608288168907166,0.5679,2.2341246604919434,6.801371188073728,0.0,0.0,0,0,0
4,0,100.0,67.72708299445719,0.9923413566739606,0.02684846520423889,0.9431,0.20722535848617554,15.971496757046939,0.0,0.0,1,0,0
4,1,64.0,14.011054586099664,0.9900179165600205,0.037477608770132065,0.1,24.779410934448244,0.0,0.8,0.5,0,1,1
4,2,100.0,65.32451201522599,0.9781113195747342,0.07291528582572937,0.62,1.8880010843276978,10.44470035728182,0.0,0.0,0,0,0
4,3,100.0,66.33497180803596,0.9913406029506093,0.03795064985752106,0.7644,1.1815843343734742,32.450453177548084,0.0,0.0,0,0,0
4,4,100.0,66.31118758871376,0.9870047543581616,0.04371657222509384,0.7593,1.3369536876678467,12.69365925488211,0.0,0.0,0,0,0
4,5,100.0,66.41537194106738,0.9857493857493858,0.04829215258359909,0.7985,1.1397867441177367,12.515066966205978,0.0,0.0,0,0,0
4,6,100.0,66.66592969168263,0.9878928987194412,0.03695317730307579,0.849,0.5306677222251892,32.912176161757756,0.0,0.0,0,0,0
4,7,64.0,14.047646354424051,0.9897959183673469,0.041359707713127136,0.1492,23.443290328979494,0.0,0.8,0.5,0,1,1
4,8,100.0,66.96136523108333,0.985200845665962,0.04600619897246361,0.8216,0.6046760320663452,14.21336990166258,0.0,0.0,0,0,0
4,9,64.0,14.095618793056275,0.9537166900420757,0.13716527819633484,0.0921,25.01257438659668,0.0,0.8,0.5,0,1,1
4,10,64.0,14.063867258773778,0.9856746765249538,0.048823725432157516,0.0952,24.963557052612305,0.0,0.8,0.5,0,1,1
4,11,100.0,65.59831659363522,0.9775224775224776,0.08732772618532181,0.6573,2.3774035453796385,11.464932526121935,0.0,0.0,0,0,0
4,12,100.0,65.84196944793499,0.994502473886751,0.02068467251956463,0.6723,1.4336363554000855,11.8260165944155,0.0,0.0,0,0,0
4,13,64.0,14.055509685425688,0.9884678747940692,0.03538094460964203,0.0787,25.39479637145996,0.0,0.8,0.5,0,1,1
4,14,100.0,66.7302167776986,0.985270487412962,0.0590287484228611,0.8025,0.6271781325340271,13.560169055822987,0.0,0.0,0,0,0
4,15,64.0,14.057810855917236,0.9734513274336283,0.07640901207923889,0.1342,23.76052055358887,0.0,0.8,0.5,0,1,1
4,16,64.0,14.073967486912832,0.983739837398374,0.06994260847568512,0.1012,24.681296157836915,0.0,0.8,0.5,0,1,1
4,17,100.0,65.67197409752704,0.9571428571428572,0.13831950724124908,0.6282,1.2810285806655883,11.828121819740238,0.0,0.0,0,0,0
4,18,64.0,14.057627207593049,0.984375,0.05473539978265762,0.0764,25.431027984619142,0.0,0.8,0.5,1,1,1
4,19,100.0,65.51861620482062,0.9031055900621118,0.27975982427597046,0.6411,1.498075795173645,11.655594545716026,0.0,0.0,1,0,0
5,0,100.0,71.9620995838174,0.9958059810357404,0.020191602408885956,0.9505,0.17616373896598816,38.43657556934052,0.0,0.0,0,0,0
5,1,51.2,7.005527293049832,0.9859227028410545,0.04794035106897354,0.1067,24.579599380493164,0.0,0.8,0.5,1,1,1
5,2,100.0,68.93614389757263,0.9587242026266416,0.12828558683395386,0.5767,1.800492286682129,13.510125193150023,0.0,0.0,0,0,0
5,3,100.0,70.15726948119988,0.9781911481719051,0.06965392827987671,0.7603,1.1953280687332153,16.253730230415584,0.0,0.0,0,0,0
5,4,100.0,70.18247340893005,0.9778129952456418,0.07903562486171722,0.7404,1.2946602344512939,16.213767013397877,0.0,0.0,1,0,0
5,5,100.0,70.10224147233293,0.990909090909091,0.03679545968770981,0.7918,1.143283438682556,16.30011858356341,0.0,0.0,1,0,0
5,6,100.0,70.15487845922459,0.9857974388824214,0.04746127873659134,0.8337,0.6223472714424133,16.881081199737046,0.0,0.0,0,0,0
5,7,51.2,7.023823177212026,0.9872448979591837,0.042032066732645035,0.1152,24.341113662719728,0.0,0.8,0.5,0,1,1
5,8,100.0,71.03879748355405,0.9836907278767744,0.05034218728542328,0.8436,0.5133047878742218,18.357129466312642,0.0,0.0,0,0,0
5,9,51.2,7.047809396528137,0.9733520336605891,0.09411594271659851,0.0979,24.900567245483398,0.0,0.8,0.5,0,1,1
5,10,51.2,7.031933629386889,0.9926062846580407,0.027591684833168983,0.1046,24.728891372680664,0.0,0.8,0.5,0,1,1
5,11,100.0,69.31556068853568,0.989010989010989,0.04222644120454788,0.6687,2.3574336051940916,14.264475716358026,0.0,0.0,0,0,0
5,12,100.0,69.67315398550049,0.9947773501924134,0.018686765804886818,0.7497,0.9082441329956055,15.090186337239995,0.0,0.0,0,0,0
5,13,51.2,7.027754842712844,0.9614497528830313,0.11682861298322678,0.1238,24.158644104003905,0.0,0.8,0.5,0,1,1
5,14,100.0,70.74947879007242,0.9825923942153187,0.054312560707330704,0.7969,0.7318557739257813,17.550638488477272,0.0,0.0,0,0,0
5,15,51.2,7.028905427958618,0.9581120943952802,0.12032343447208405,0.0739,25.49520149230957,0.0,0.8,0.5,0,1,1
5,16,51.2,7.036983743456416,0.9629629629629629,0.1189446747303009,0.0818,25.284573364257813,0.0,0.8,0.5,0,1,1
5,17,100.0,69.2245151830629,0.92,0.24328039586544037,0.6556,1.1146498203277588,14.823544571975587,0.0,0.0,0,0,0
5,18,51.2,7.028813603796524,0.977796052631579,0.06259168684482574,0.0365,26.579970169067384,0.0,0.8,0.5,0,1,1
5,19,100.0,69.0310113567588,0.9565217391304348,0.1669239103794098,0.6747,1.5314612627029418,31.957622225114378,0.0,0.0,0,0,0
6,0,100.0,75.75704535607535,0.9939824945295405,0.026767432689666748,0.9474,0.18878920674324035,22.018080904557124,0.0,0.0,0,0,0
6,1,40.96000000000001,3.502763646524916,0.9810596365497825,0.059334345161914825,0.0868,25.142531204223634,0.0,0.8,0.5,0,1,1
6,2,100.0,72.24588605908284,0.9743589743589743,0.09331082552671432,0.6079,1.9902667284011841,14.449260745693156,0.0,0.0,0,0,0
6,3,100.0,73.8109128460995,0.9932649134060295,0.03126123547554016,0.765,1.1807751178741455,17.504401446448,0.0,0.0,0,0,0
6,4,100.0,73.71122200026998,0.9800316957210776,0.05927404388785362,0.7609,1.2854820966720581,32.617802788090174,0.0,0.0,0,0,0
6,5,100.0,73.42354367070737,0.9771498771498771,0.07007889449596405,0.8132,1.2725727796554565,32.942437580574804,0.0,0.0,0,0,0
6,6,100.0,73.77725628628616,0.9927823050058208,0.0283950287848711,0.8467,0.5574018001556397,18.543993871554697,0.0,0.0,0,0,0
6,7,40.96000000000001,3.511911588606013,0.9837372448979592,0.05145592987537384,0.1532,23.34451789855957,0.0,0.8,0.5,0,1,1
6,8,100.0,74.67731539828682,0.9921473874962247,0.03261253982782364,0.8757,0.42403581738471985,19.49666180213247,0.0,0.0,0,0,0
6,9,40.96000000000001,3.5239046982640687,0.8934081346423562,0.2996753752231598,0.1032,24.782574081420897,0.0,0.8,0.5,0,1,1
6,10,40.96000000000001,3.5159668146934444,0.993992606284658,0.02740507759153843,0.0884,25.122911071777345,0.0,0.8,0.5,0,1,1
6,11,100.0,72.4263463246055,0.9305694305694305,0.23143541812896729,0.6033,3.0344796180725098,15.27290558792927,0.0,0.0,0,0,0
6,12,100.0,72.95850528422979,0.9958768554150632,0.01727571152150631,0.6864,1.2725915908813477,16.005052658670916,0.0,0.0,1,0,0
6,13,40.96000000000001,3.513877421356422,0.9789126853377266,0.05986444279551506,0.0981,24.794081497192384,0.0,0.8,0.5,0,1,1
6,14,100.0,74.39633154864352,0.9908944831280129,0.033195458352565765,0.8094,0.7251444816589355,18.75135347053291,0.0,0.0,1,0,0
6,15,40.96000000000001,3.514452713979309,0.9722713864306785,0.080823615193367,0.1272,24.0930606842041,0.0,0.8,0.5,0,1,1
6,16,40.96000000000001,3.518491871728208,0.9570912375790425,0.1307048350572586,0.0934,24.974914169311525,0.0,0.8,0.5,1,1,1
6,17,100.0,72.66456047212267,0.9692857142857143,0.10845502465963364,0.6679,1.0661308288574218,15.510535096712072,0.0,0.0,0,0,0
6,18,40.96000000000001,3.514406801898262,0.990953947368421,0.03272058069705963,0.0963,24.854963302612305,0.0,0.8,0.5,0,1,1
6,19,100.0,72.25638303515312,0.9527950310559006,0.1734323501586914,0.6962,1.736802577972412,15.051478989465547,0.0,0.0,0,0,0
7,0,100.0,79.16819710804648,0.9979941648431802,0.012362763285636902,0.9597,0.14204852283000946,23.58183397002841,0.0,0.0,0,0,0
7,1,32.76800000000001,1.751381823262458,0.9859227028410545,0.045686230063438416,0.0903,25.079656982421874,0.0,0.8,0.5,0,1,1
7,2,100.0,75.17789829766518,0.9787367104440275,0.06591223180294037,0.5929,2.1504644393920898,15.187979536218542,0.0,0.0,0,0,0
7,3,100.0,76.98508422779024,0.9791533033996151,0.06375470757484436,0.7425,1.2914811849594117,18.76266284957904,0.0,0.0,0,0,0
7,4,100.0,76.83165587376845,0.9898573692551506,0.035488907247781754,0.7359,1.4009877443313599,18.594566900701448,0.0,0.0,0,0,0
7,5,100.0,76.66675708611608,0.9896805896805897,0.033412571996450424,0.8036,1.2049458026885986,19.155927770197454,0.0,0.0,0,0,0
7,6,100.0,77.0379278301838,0.9939464493597207,0.027853671461343765,0.8677,0.427452951669693,20.030957484601718,0.0,0.0,0,0,0
7,7,32.76800000000001,1.7559557943030064,0.985969387755102,0.044740885496139526,0.1049,24.686035537719725,0.0,0.8,0.5,0,1,1
7,8,100.0,77.80515123219993,0.9688915735427364,0.07919786125421524,0.8215,0.6405138969421387,20.886925195649244,0.0,0.0,1,0,0
7,9,32.76800000000001,1.7619523491320344,0.9754558204768583,0.08029746264219284,0.1067,24.632566833496092,0.0,0.8,0.5,0,1,1
7,10,32.76800000000001,1.7579834073467222,0.9974584103512015,0.01562873087823391,0.0999,24.790404891967775,0.0,0.8,0.5,0,1,1
7,11,100.0,75.38580453529805,0.9935064935064936,0.03135371208190918,0.6693,2.1260141372680663,16.40213472745359,0.0,0.0,0,0,0
7,12,100.0,75.85850475207076,0.9936778449697636,0.019695816561579704,0.6715,1.3836517333984375,31.044620737682457,0.0,0.0,0,0,0
7,13,32.76800000000001,1.756938710678211,0.97166392092257,0.09021065384149551,0.1052,24.56910858154297,0.0,0.8,0.5,0,1,1
7,14,100.0,77.64689020252531,0.9957150508837708,0.02301725372672081,0.8378,0.5564305663108826,33.567721773323605,0.0,0.0,0,0,0
7,15,32.76800000000001,1.7572263569896545,0.9775811209439528,0.07366520911455154,0.1068,24.59705047607422,0.0,0.8,0.5,1,1,1
7,16,32.76800000000001,1.759245935864104,0.98193315266486,0.06390118598937988,0.0713,25.581016540527344,0.0,0.8,0.5,0,1,1
7,17,100.0,75.48102268788153,0.9514285714285714,0.15149016678333282,0.5967,1.7102508544921875,16.514134981716108,0.0,0.0,1,0,0
7,18,32.76800000000001,1.757203400949131,0.9931469298245614,0.030524345114827156,0.1092,24.583423614501953,0.0,0.8,0.5,0,1,1
7,19,100.0,75.11386328466129,0.968944099378882,0.12117447704076767,0.7115,1.333778190612793,16.25149493763615,0.0,0.0,0,0,0
8,0,100.0,82.24166919189237,0.9969000729394603,0.016825135797262192,0.9547,0.1665550023317337,21.975384293814983,0.0,0.0,1,0,0
8,1,26.21440000000001,0.875690911631229,0.984898899411313,0.04863959923386574,0.0893,25.119595336914063,0.0,0.8,0.5,0,1,1
8,2,100.0,77.78694455040227,0.9737335834896811,0.08388575911521912,0.5787,2.3362046241760255,14.159455188465667,0.0,0.0,0,0,0
8,3,100.0,79.86753537179722,0.9890955740859525,0.04024394601583481,0.7556,1.152507734298706,17.75808022316655,0.0,0.0,0,0,0
8,4,100.0,79.70403755950578,0.9724247226624406,0.08036566525697708,0.7507,1.2510209560394288,17.36481970940699,0.0,0.0,0,0,0
8,5,100.0,79.59929698607247,0.9891891891891892,0.03344808891415596,0.7781,1.2835002183914184,18.020443177956302,0.0,0.0,0,0,0
8,6,100.0,79.39726653884632,0.4006984866123399,2.6612534523010254,0.7211,1.1480612993240356,19.38374257384799,0.0,0.0,0,0,0
8,7,26.21440000000001,0.8779778971515032,0.9821428571428571,0.055674172937870026,0.105,24.692503356933592,0.0,0.8,0.5,0,1,1
8,8,100.0,80.68158790223117,0.988221081244337,0.03748771920800209,0.855,0.49529120326042175,32.40572493015194,0.0,0.0,0,0,0
8,9,26.21440000000001,0.8809761745660172,0.9712482468443198,0.09886137396097183,0.0973,24.880826950073242,0.0,0.8,0.5,0,1,1
8,10,26.21440000000001,0.8789917036733611,0.9956099815157117,0.024509737268090248,0.1275,24.059049987792967,0.0,0.8,0.5,0,1,1
8,11,100.0,78.08585692620076,0.9905094905094906,0.04174887761473656,0.667,2.2613457679748534,14.993822870233267,0.0,0.0,1,0,0
8,12,100.0,78.52077808990224,0.9925783397471138,0.020047156140208244,0.6902,1.1876619815826417,16.24919610276248,0.0,0.0,0,0,0
8,13,26.21440000000001,0.8784693553391055,0.9611202635914333,0.11492007970809937,0.1074,24.646498489379884,0.0,0.8,0.5,1,1,1
8,14,100.0,80.51068115878854,0.987680771290841,0.042903486639261246,0.8094,0.7309618353843689,18.749734812320373,0.0,0.0,0,0,0
8,15,26.21440000000001,0.8786131784948272,0.983480825958702,0.05647878348827362,0.0634,25.800659942626954,0.0,0.8,0.5,0,1,1
8,16,26.21440000000001,0.879622967932052,0.9634146341463414,0.10893028229475021,0.1426,23.56528968811035,0.0,0.8,0.5,0,1,1
8,17,100.0,78.15292654226599,0.895,0.32542553544044495,0.6768,1.0805265188217164,27.97302420689585,0.0,0.0,0,0,0
8,18,26.21440000000001,0.8786017004745655,0.9841008771929824,0.050889939069747925,0.0981,24.807415771484376,0.0,0.8,0.5,0,1,1
8,19,100.0,77.93228708320346,0.9540372670807453,0.14898055791854858,0.7197,1.2857280254364014,15.225680637511598,0.0,0.0,0,0,0
9,0,100.0,84.9911450364184,0.9932530999270606,0.030564982444047928,0.9438,0.19762751460075378,34.0725827003292,0.0,0.0,0,0,0
9,1,20.97152000000001,0.4378454558156145,0.9705656513949322,0.08249087631702423,0.1052,24.653923416137694,0.0,0.8,0.5,0,1,1
9,2,100.0,80.2216954167103,0.9649781113195748,0.11943917721509933,0.6361,1.9351507663726806,13.915226840081095,0.0,0.0,0,0,0
9,3,100.0,82.47815408271565,0.9871712636305324,0.04235050082206726,0.7577,1.228033447265625,17.3870242260311,0.0,0.0,1,0,0
9,4,100.0,82.31265443669798,0.9857369255150554,0.04951108619570732,0.763,1.348887300491333,17.112057081743718,0.0,0.0,0,0,0
9,5,100.0,82.16160857294264,0.9906633906633907,0.032153189182281494,0.7655,1.3008234739303588,18.217051663494846,0.0,0.0,0,0,0
9,6,100.0,81.80778486358247,0.9885913853317811,0.039438169449567795,0.8488,0.5449371576309204,19.23068798446502,0.0,0.0,1,0,0
9,7,20.97152000000001,0.4389889485757516,0.9875637755102041,0.046215321868658066,0.0787,25.42295684814453,0.0,0.8,0.5,0,1,1
9,8,100.0,83.30384327318926,0.9833887043189369,0.0573483407497406,0.854,0.4933650612831116,19.26201707320231,0.0,0.0,0,0,0
9,9,20.97152000000001,0.4404880872830086,0.9607293127629734,0.13536414504051208,0.1388,23.740098571777345,0.0,0.8,0.5,0,1,1
9,10,20.97152000000001,0.43949585183668055,0.9930683918669131,0.02749824896454811,0.093,24.969498062133788,0.0,0.8,0.5,1,1,1
9,11,100.0,80.52432125133937,0.9895104895104895,0.04316879063844681,0.6743,2.4159955024719237,27.174119112024115,0.0,0.0,0,0,0
9,12,100.0,80.86243138643925,0.9950522264980759,0.016190052032470703,0.6667,1.2952834844589234,15.891927322173201,0.0,0.0,0,0,0
9,13,20.97152000000001,0.43923467766955276,0.9871499176276771,0.04298429191112518,0.0805,25.338991928100587,0.0,0.8,0.5,0,1,1
