round,node_id,stake,reputation,train_acc,train_loss,val_acc,val_loss,reward,stake_penalty,rep_penalty,is_committee,is_malicious,detected
6,19,40.96000000000001,3.5900021388630337,0.9478260869565217,0.17673885822296143,0.3448,18.071107482910158,0.0,0.8,0.5,1,1,1
7,0,32.76800000000001,1.7856940887648165,0.9972647702407003,0.016465920954942703,0.3546,17.824037933349608,0.0,0.8,0.5,0,1,1
7,1,32.76800000000001,1.7750925684016767,0.9585359610954697,0.12156938016414642,0.2483,20.76625862121582,0.0,0.8,0.5,0,1,1
7,2,64.0,50.29996442772201,0.9781113195747342,0.07242457568645477,0.5958,2.1449596881866455,14.586754980414067,0.0,0.0,0,0,0
7,3,32.76800000000001,1.7785852133669287,0.9557408595253367,0.13002392649650574,0.1936,22.285506439208984,0.0,0.8,0.5,0,1,1
7,4,64.0,51.67062572239748,0.9873217115689382,0.04493430629372597,0.742,1.4191277980804444,17.653273656331077,0.0,0.0,0,0,0
7,5,64.0,51.76947831685854,0.9471744471744472,0.16417770087718964,0.7694,1.3031716346740723,32.07883390773812,0.0,0.0,0,0,0
7,6,32.76800000000001,1.7619167090142758,0.9911525029103608,0.03482083976268768,0.2793,19.913621520996095,0.0,0.8,0.5,0,1,1
7,7,64.0,52.16483355642529,0.9811862244897959,0.05747052654623985,0.7528,1.658464503288269,18.445147864858793,0.0,0.0,0,0,0
7,8,32.76800000000001,1.7701771115156555,0.9815765629719118,0.053486429154872894,0.1491,23.49712562561035,0.0,0.8,0.5,0,1,1
7,9,32.76800000000001,1.7848233846361705,0.9396914446002805,0.17922690510749817,0.3292,18.470809936523438,0.0,0.8,0.5,1,1,1
7,10,64.0,52.86146614034281,0.9958410351201479,0.02059805765748024,0.8742,0.4314278542995453,20.779247207668426,0.0,0.0,1,0,0
7,11,64.0,50.186031339098534,0.9905094905094906,0.03875455632805824,0.6565,2.3162027835845946,15.576120384658216,0.0,0.0,1,0,0
7,12,32.76800000000001,1.7962087965800597,0.9939527212754261,0.01946735382080078,0.3621,17.55395088195801,0.0,0.8,0.5,0,1,1
7,13,32.76800000000001,1.7922993608266384,0.9756177924217463,0.08680714666843414,0.4617,14.828969764709473,0.0,0.8,0.5,0,1,1
7,14,32.76800000000001,1.8107998619599592,0.9911622924477772,0.03749153017997742,0.6047,10.862118911743163,0.0,0.8,0.5,0,1,1
7,15,64.0,51.57643317246312,0.9734513274336283,0.08106955885887146,0.734,0.857245409488678,17.36733651401444,0.0,0.0,0,0,0
7,16,64.0,51.176153580133196,0.9778681120144534,0.08124984800815582,0.6877,1.2739493131637574,30.243733322527163,0.0,0.0,0,0,0
7,17,64.0,50.01931867752721,0.9578571428571429,0.14113286137580872,0.5759,1.594307279586792,15.995289326075069,0.0,0.0,0,0,0
7,18,64.0,52.22494528466427,0.9890350877192983,0.0411263108253479,0.7856,0.829398238658905,18.93710159300539,0.0,0.0,0,0,0
7,19,32.76800000000001,1.7950010694315168,0.9565217391304348,0.15352939069271088,0.354,17.73272705078125,0.0,0.8,0.5,0,1,1
8,0,26.21440000000001,0.8928470443824083,0.9978118161925602,0.018164269626140594,0.2814,19.84154281616211,0.0,0.8,0.5,0,1,1
8,1,26.21440000000001,0.8875462842008384,0.9874584079856668,0.04216195270419121,0.206,21.90568733215332,0.0,0.8,0.5,0,1,1
8,2,64.0,55.758734618552296,0.9699812382739212,0.09379490464925766,0.5655,2.3285401344299315,10.964346132511402,0.0,0.0,0,0,0
8,3,26.21440000000001,0.8892926066834643,0.986529826812059,0.044361475855112076,0.2595,20.4456485748291,0.0,0.8,0.5,0,1,1
8,4,64.0,57.40585759341987,0.979080824088748,0.06767481565475464,0.7615,1.3699133157730103,13.39714396380482,0.0,0.0,0,0,0
8,5,64.0,57.466779574354376,0.986977886977887,0.03773372992873192,0.7703,1.3438071012496948,14.091560274262855,0.0,0.0,0,0,0
8,6,26.21440000000001,0.8809583545071379,0.48544819557625146,1.9810503721237183,0.3802,17.093005752563478,0.0,0.8,0.5,0,1,1
8,7,64.0,57.93253276400952,0.9894770408163265,0.04124265909194946,0.7784,1.454702615737915,14.00165543219761,0.0,0.0,1,0,0
8,8,26.21440000000001,0.8850885557578277,0.9918453639383872,0.0284090768545866,0.2165,21.592380905151366,0.0,0.8,0.5,1,1,1
8,9,26.21440000000001,0.8924116923180853,0.9628330995792427,0.1095597967505455,0.2852,19.712193298339844,0.0,0.8,0.5,0,1,1
8,10,64.0,58.73521945781016,0.9965341959334566,0.023708362132310867,0.8901,0.35105006098747255,27.283504323015546,0.0,0.0,0,0,0
8,11,64.0,55.71088083735412,0.987012987012987,0.04715073108673096,0.6754,2.1652235984802246,22.994369124233405,0.0,0.0,0,0,0
8,12,26.21440000000001,0.8981043982900299,0.994502473886751,0.018199952319264412,0.3548,17.75037078857422,0.0,0.8,0.5,0,1,1
8,13,26.21440000000001,0.8961496804133192,0.9238879736408566,0.23095226287841797,0.421,15.973530197143555,0.0,0.8,0.5,0,1,1
8,14,26.21440000000001,0.9053999309799796,0.9879485806106052,0.04284103959798813,0.4657,14.686299514770507,0.0,0.8,0.5,0,1,1
8,15,64.0,57.272278104309365,0.9769911504424779,0.0680941492319107,0.7267,0.8990653157234192,12.927230103981316,0.0,0.0,0,0,0
8,16,64.0,56.78892849804603,0.967479674796748,0.10201771557331085,0.7257,1.187875461578369,12.397980684550694,0.0,0.0,0,0,0
8,17,64.0,55.4717287066808,0.9328571428571428,0.2355799674987793,0.6957,0.9547222495079041,11.895947816287642,0.0,0.0,1,0,0
8,18,64.0,57.98127159581448,0.9827302631578947,0.05486243963241577,0.7722,0.7888348698616028,14.336980517346714,0.0,0.0,0,0,0
8,19,26.21440000000001,0.8975005347157584,0.9527950310559006,0.17403550446033478,0.4473,15.07935619354248,0.0,0.8,0.5,0,1,1
9,0,20.97152000000001,0.4464235221912041,0.9948942377826404,0.02125428058207035,0.1347,23.905207443237305,0.0,0.8,0.5,1,1,1
9,1,20.97152000000001,0.4437731421004192,0.9767084719733811,0.06932342797517776,0.1182,24.365161514282228,0.0,0.8,0.5,0,1,1
9,2,64.0,60.396832721595764,0.949343339587242,0.16073450446128845,0.5226,2.01745400428772,11.124301929139715,0.0,0.0,1,0,0
9,3,20.97152000000001,0.44464630334173216,0.9890955740859525,0.03835028037428856,0.236,21.10172309875488,0.0,0.8,0.5,0,1,1
