round,node_id,stake,reputation,train_acc,train_loss,val_acc,val_loss,reward,stake_penalty,rep_penalty,is_committee,is_malicious,detected
1,0,100.0,54.62927878514087,0.9943181818181818,0.0177138838917017,0.6609,2.088474988937378,0.0,0.0,0.0,0,0,0
1,1,100.0,53.22331385624333,0.9940387481371088,0.03130028396844864,0.0755,25.490263748168946,0.0,0.0,0.0,0,1,0
1,2,100.0,53.760978830271085,0.9910313901345291,0.026312721893191338,0.2926,7.026248359680176,0.0,0.0,0.0,0,0,0
1,3,100.0,54.37043940157458,0.9906759906759907,0.034773699939250946,0.5476,3.8593396186828612,0.0,0.0,0.0,0,0,0
1,4,100.0,54.19558916456904,0.9908218606591572,0.03501531109213829,0.473,4.173720264434815,0.0,0.0,0.0,0,0,0
1,5,100.0,54.63376878568838,0.9892132892276715,0.0333903506398201,0.6629,2.3009041786193847,0.0,0.0,0.0,0,0,0
1,6,100.0,54.1365274361329,0.915273132664437,0.27589935064315796,0.4481,2.8349958419799806,0.0,0.0,0.0,0,0,0
1,7,100.0,53.13214110910092,0.9941840574751967,0.019765065982937813,0.039,26.493325424194335,0.0,0.0,0.0,0,1,0
1,8,100.0,53.38507801896903,0.965721819380356,0.09350690245628357,0.1404,23.689458084106445,0.0,0.0,0.0,0,1,0
1,9,100.0,54.84189128069612,0.9897597479322567,0.034129008650779724,0.7571,1.3375868558883668,0.0,0.0,0.0,0,0,0
1,10,100.0,54.607461754928394,0.9987868284228769,0.006269966717809439,0.6512,3.3374844074249266,0.0,0.0,0.0,0,0,0
1,11,100.0,53.48914547324304,0.9975295570848773,0.012454544194042683,0.1823,22.513613891601562,0.0,0.0,0.0,0,1,0
1,12,100.0,53.228805795680245,0.6577380952380952,0.9124516844749451,0.0777,25.392361068725585,0.0,0.0,0.0,0,1,0
1,13,100.0,53.68642369957158,0.9912959381044487,0.042129743844270706,0.2622,3.664705228805542,0.0,0.0,0.0,0,0,0
1,14,100.0,54.60520877335691,0.9938385705483672,0.02931196428835392,0.6502,2.361513614654541,0.0,0.0,0.0,0,0,0
1,15,100.0,54.056317485311126,0.9653679653679653,0.10003689676523209,0.4145,3.6501779079437258,0.0,0.0,0.0,0,0,0
1,16,100.0,53.88602913942029,0.9364406779661016,0.21758516132831573,0.3439,3.2331621170043947,0.0,0.0,0.0,0,0,0
1,17,100.0,53.56168845128845,0.9779661016949153,0.06636836379766464,0.2116,21.67300148010254,0.0,0.0,0.0,0,1,0
1,18,100.0,54.008549100014235,0.8520238885202389,0.47949638962745667,0.3946,4.160106945037842,0.0,0.0,0.0,0,0,0
1,19,100.0,54.65371438607159,0.9944289693593314,0.0223753172904253,0.6718,1.723694109916687,0.0,0.0,0.0,0,0,0
2,0,100.0,58.78077501343685,0.9966692789968652,0.013058357872068882,0.6776,2.2375619411468506,0.0,0.0,0.0,0,0,0
