round,node_id,train_acc,train_loss,val_acc,val_loss,is_malicious,detected
1,0,0.9965353756382203,0.01795119047164917,0.9577,0.152713605761528,0,1
1,1,0.98285129255183,0.059801459312438965,0.2427,2.072522592544556,1,0
1,2,0.9743589743589743,0.08061397820711136,0.6154,1.9649593114852906,0,0
1,3,0.9820397690827454,0.0541686974465847,0.7496,1.2455682754516602,0,0
1,4,0.9876386687797147,0.04331830516457558,0.7503,1.325310969352722,0,0
1,5,0.9916461916461916,0.028996843844652176,0.8017,1.182842230796814,0,0
1,6,0.7538998835855646,1.531792163848877,0.5587,2.6053744316101075,0,0
1,7,0.9247448979591837,0.2386632263660431,0.3419,2.0955244064331056,1,0
1,8,0.9873150105708245,0.04183769226074219,0.2081,2.0849356174468996,1,0
1,9,0.9474053295932678,0.16300806403160095,0.7259,0.955198323726654,0,0
1,10,0.9900646950092421,0.03469648212194443,0.8613,0.4724885940551758,0,0
1,11,0.9855144855144855,0.05608509108424187,0.4068,2.0883443355560303,1,0
1,12,0.9931280923584387,0.020272087305784225,0.342,2.1643527507781983,1,0
1,13,0.9647446457990115,0.10135658830404282,0.7505,0.988146185874939,0,0
1,14,0.9783074450990894,0.07359103113412857,0.7915,0.7339807391166687,0,0
1,15,0.9663716814159292,0.10668967664241791,0.7921,0.6462572574615478,0,0
1,16,0.9715447154471545,0.13069146871566772,0.7038,1.008144199848175,0,0
1,17,0.9735714285714285,0.10298506915569305,0.4084,2.1423157691955566,1,0
1,18,0.9862938596491229,0.046746205538511276,0.7974,0.7143908619880677,0,0
1,19,0.9093167701863354,0.27215224504470825,0.6999,1.3341114044189453,0,0
2,0,0.9950765864332604,0.021369444206357002,0.948,0.18749437630176544,0,1
2,1,0.9508574353724085,0.1482774317264557,0.1953,2.2128371238708495,1,0
2,2,0.9699812382739212,0.0903901755809784,0.5913,2.215202808380127,0,0
2,3,0.9846055163566388,0.04987333342432976,0.759,1.1729606151580811,0,0
2,4,0.9638668779714739,0.11047373712062836,0.6944,1.791870355606079,0,0
2,5,0.745945945945946,0.923345685005188,0.6321,2.1522267341613768,0,0
2,6,0.9927823050058208,0.02767789550125599,0.867,0.47872147560119627,0,0
2,7,0.9837372448979592,0.05533607676625252,0.3383,1.9447437286376954,1,0
2,8,0.9791603745092117,0.06654731929302216,0.158,2.016475200653076,1,0
2,9,0.9333800841514727,0.17924419045448303,0.7227,0.9089756846427918,0,0
2,10,0.9930683918669131,0.02632560022175312,0.8667,0.4222656309604645,0,0
2,11,0.9180819180819181,0.21625769138336182,0.4215,1.9591556549072267,1,0
2,12,0.9939527212754261,0.02018534578382969,0.4118,2.0597310066223145,1,0
2,13,0.9887973640856672,0.03848244249820709,0.7919,0.7564215540885926,0,0
2,14,0.9890198178896625,0.038104794919490814,0.8341,0.5921371817588806,0,0
2,15,0.9793510324483776,0.07628513872623444,0.7313,0.8542510390281677,0,0
2,16,0.9331526648599819,0.21006709337234497,0.7261,1.1978565216064454,0,0
2,17,0.9671428571428572,0.13025592267513275,0.2102,2.1127984523773193,1,0
2,18,0.9884868421052632,0.04514158144593239,0.7941,0.7854509711265564,0,0
2,19,0.929192546583851,0.21333123743534088,0.6416,1.7302501440048217,0,0
3,0,0.9894237782640408,0.03699783235788345,0.9421,0.2020383358001709,0,0
3,1,0.8523163552597901,0.5004207491874695,0.0982,24.821086883544922,1,1
3,2,0.975609756097561,0.08165301382541656,0.6553,1.9378577947616578,0,0
3,3,0.9897370109044259,0.047296129167079926,0.769,1.203076434135437,0,0
3,4,0.9118858954041205,0.2463432252407074,0.7069,1.3125725269317627,0,0
3,5,0.9761670761670762,0.07662244886159897,0.7485,1.4858425378799438,0,0
3,6,0.9741559953434226,0.07721714675426483,0.7722,0.9711518049240112,0,0
3,7,0.9846938775510204,0.05304952710866928,0.226,1.9384559392929077,1,1
3,8,0.9903352461491997,0.03764360025525093,0.1046,2.0651530742645265,1,1
3,9,0.8288920056100981,0.622154712677002,0.624,1.2722658395767212,0,0
3,10,0.9930683918669131,0.031423334032297134,0.8648,0.44884763956069945,0,0
3,11,0.8641358641358642,0.53392493724823,0.4152,2.0685490131378175,1,1
3,12,0.9832325453545905,0.04920492321252823,0.335,2.1171786308288576,1,1
3,13,0.8711696869851729,0.46956661343574524,0.6482,1.4668239116668702,0,0
3,14,0.9855382967327263,0.05576179549098015,0.8154,0.676316785812378,0,0
3,15,0.9734513274336283,0.08298666030168533,0.7487,0.8119311451911926,0,0
3,16,0.969286359530262,0.1100066751241684,0.6924,1.4095551013946532,0,0
3,17,0.9314285714285714,0.20626533031463623,0.3248,2.0671936511993407,1,1
3,18,0.9851973684210527,0.05779051408171654,0.8223,0.5970865368843079,0,0
3,19,0.7776397515527951,0.7396793961524963,0.5471,2.330641508102417,0,0
4,0,0.986870897155361,0.04301034286618233,0.9203,0.2929332911968231,0,0
4,1,0.9879703097005375,0.04614453390240669,0.1027,2.6058030128479004,1,1
4,2,0.9724828017510945,0.08218316733837128,0.585,2.031105899810791,0,0
4,3,0.9900577293136626,0.03947571665048599,0.7676,1.2281802415847778,0,0
4,4,0.9879556259904912,0.04078766331076622,0.7646,1.216311764717102,0,0
4,5,0.990909090909091,0.029997076839208603,0.7801,1.2318673372268676,0,0
4,6,0.9876600698486613,0.03685951232910156,0.8393,0.580425763130188,0,0
4,7,0.9869260204081632,0.043511439114809036,0.3323,2.002778649330139,1,1
4,8,0.9797644216248867,0.06242716312408447,0.2921,1.961522603034973,1,1
4,9,0.9670406732117812,0.10166695713996887,0.7034,1.0868708610534668,0,0
4,10,0.9246765249537893,0.22063295543193817,0.8134,0.6393754005432128,0,0
4,11,0.9765234765234765,0.08392789214849472,0.3494,2.0806763648986815,1,1
4,12,0.9879054425508521,0.030872715637087822,0.3476,2.14467339515686,1,1
4,13,0.9878088962108732,0.04287346079945564,0.7895,0.7336100935935974,0,0
4,14,0.9713444027852169,0.08977749943733215,0.8189,0.6757229685783386,0,0
4,15,0.9734513274336283,0.0769311934709549,0.7153,0.9832394480705261,0,0
4,16,0.9728997289972899,0.09276510030031204,0.6973,1.3313293695449828,0,0
