round,node_id,train_acc,train_loss,val_acc,val_loss,is_malicious,detected
1,0,0.9141137855579868,0.3090128133167726,0.8704,0.43554376464368316,0,0
1,1,0.9436908113642181,0.20504228817205253,0.3179,4.176351116082417,1,0
1,2,0.9462163852407754,0.206744281963481,0.507,2.124396222567097,0,0
1,3,0.9243104554201411,0.2947312084373892,0.6991,1.7526233426023388,0,0
1,4,0.9591125198098257,0.16622587629361285,0.6632,1.5662938635513866,0,0
1,5,0.9447174447174447,0.2038510451761892,0.6788,1.525855063175491,0,0
1,6,0.949708963911525,0.19365712834730453,0.7219,1.1150409102899452,0,0
1,7,0.939094387755102,0.23362823718644526,0.2601,6.1231352348632955,1,0
1,8,0.9232860163092721,0.2873808774178152,0.3568,3.8678691591469745,1,0
1,9,0.9053295932678822,0.34343683479517273,0.5761,1.2860540313789333,0,0
1,10,0.9184380776340111,0.2977934082539737,0.7364,0.9876143791424518,0,0
1,11,0.9425574425574426,0.22752169456667073,0.3716,5.356194178421031,1,0
1,12,0.9730621220450797,0.10228639985079033,0.2422,6.421480962437558,1,0
1,13,0.9387149917627677,0.23705358896431453,0.7015,1.329742426203008,0,0
1,14,0.9437600428494911,0.23080016860368527,0.6725,1.2991660512609042,0,0
1,15,0.9410029498525073,0.22300142474100523,0.5848,1.2545142165011511,0,0
1,16,0.9290876242095755,0.29971492321945914,0.6414,1.8559602373050565,0,0
1,17,0.9364285714285714,0.24689863588836033,0.2205,6.767316032286757,1,0
1,18,0.9375,0.22811668040322577,0.6382,1.2703046010700387,0,0
1,19,0.9142857142857143,0.4129899279803119,0.5765,1.6435541141229315,0,0
2,0,0.9130196936542669,0.3067998795928673,0.8621,0.458298271948939,0,0
2,1,0.9372920399283338,0.21189954666936944,0.321,4.78744925531428,1,0
2,2,0.949343339587242,0.20589331618183154,0.5124,2.094487629553398,0,0
2,3,0.9271969211032713,0.29289486832114436,0.7017,1.754157487286896,0,0
2,4,0.9594294770206022,0.16490463925770088,0.6595,1.5884337413585272,0,0
2,5,0.9437346437346438,0.20569366662926494,0.6833,1.500116948675431,0,0
2,6,0.9525029103608847,0.19584436237619027,0.7132,1.16793146345788,0,0
2,7,0.9381377551020408,0.2340795787192724,0.3371,3.793420588705338,1,0
2,8,0.9254001812141347,0.2892229899818292,0.3175,4.580124119269451,1,0
2,9,0.9032258064516129,0.34680236024125316,0.547,1.3077991563259643,0,0
2,10,0.9200554528650647,0.2984265520970188,0.745,0.9194886657897013,0,0
2,11,0.9430569430569431,0.22950875427390152,0.317,6.114305943216174,1,0
2,12,0.9747113798790544,0.10118364954741037,0.2893,5.255330678259911,1,0
2,13,0.9397034596375617,0.23884453823444207,0.7011,1.3307884387541542,0,0
2,14,0.9413497589716122,0.23125642215643188,0.6721,1.3020773367487515,0,0
2,15,0.9421828908554573,0.21734285323297275,0.5722,1.2694214028560875,0,0
2,16,0.9227642276422764,0.30059248253959286,0.6377,1.8062481961138814,0,0
2,17,0.9342857142857143,0.24740101644785836,0.2425,4.886487517857487,1,0
2,18,0.9380482456140351,0.22430060022552367,0.6449,1.2134172265952206,0,0
2,19,0.9055900621118013,0.41497404602239263,0.5716,1.7033878507433655,0,0
3,0,0.9135667396061269,0.3051473916578773,0.8601,0.4572726245863453,0,0
3,1,0.9452265165088303,0.20332624395843912,0.2957,5.432517263181632,1,0
3,2,0.9487179487179487,0.20591686423388209,0.5109,2.119500771805648,0,0
3,3,0.9262347658755613,0.29303364578704283,0.7018,1.7356977741215496,0,0
3,4,0.9578446909667195,0.16706434814493887,0.6624,1.5684793944639313,0,0
3,5,0.9447174447174447,0.20320717009613862,0.6727,1.5448179313513546,0,0
