round,node_id,train_acc,train_loss,val_acc,val_loss,is_malicious,detected
1,0,0.987782640408461,0.03881821036338806,0.9472,0.17804651260375975,0,0
1,1,0.9790120296902994,0.07724364101886749,0.3907,16.818631744384767,1,1
1,2,0.9687304565353346,0.09166651219129562,0.6035,2.0860623121261597,0,0
1,3,0.9672867222578576,0.08898993581533432,0.7288,1.4125499963760375,0,0
1,4,0.9800316957210776,0.05845602974295616,0.7428,1.497957992553711,0,0
1,5,0.9928746928746929,0.03020007722079754,0.7913,1.3104340076446532,0,0
1,6,0.869383003492433,0.6123352646827698,0.7051,1.5517026424407958,0,0
1,7,0.953125,0.12830528616905212,0.406,16.399128723144532,1,1
1,8,0.9861069163394744,0.040705543011426926,0.1979,22.153611373901366,1,1
1,9,0.9347826086956522,0.200398787856102,0.6582,1.2306742906570434,0,0
1,10,0.987985212569316,0.042127061635255814,0.843,0.5171077966690063,0,0
1,11,0.9895104895104895,0.048830028623342514,0.3817,17.047401428222656,1,1
1,12,0.9936778449697636,0.01946938782930374,0.3509,17.915489959716798,1,1
1,13,0.9825370675453048,0.059804342687129974,0.7656,0.823008930683136,0,0
1,14,0.972951258703803,0.08104488998651505,0.7661,0.8122040629386902,0,0
1,15,0.9651917404129794,0.10554075241088867,0.7695,0.7219519972801208,0,0
1,16,0.9715447154471545,0.10247544199228287,0.6833,1.3766754865646362,0,0
1,17,0.9671428571428572,0.1219172552227974,0.2659,20.278910446166993,1,1
1,18,0.9882127192982456,0.04239410161972046,0.7833,0.796556580066681,0,0
1,19,0.8919254658385093,0.3298862874507904,0.6839,1.2633376359939574,0,0
2,0,0.9961706783369803,0.01821126416325569,0.9475,0.1897455334663391,0,0
2,1,0.9877143588431021,0.04313751310110092,0.1065,24.69295425415039,1,1
2,2,0.9699812382739212,0.09489451348781586,0.5955,2.149909496307373,0,0
2,3,0.9887748556767159,0.03980785980820656,0.7571,1.2830135107040406,0,0
2,4,0.9765451664025356,0.0727512389421463,0.7239,1.536707353591919,0,0
2,5,0.860933660933661,0.43679216504096985,0.6459,2.402019739151001,0,0
2,6,0.9939464493597207,0.030632048845291138,0.8533,0.5016959190368653,0,0
2,7,0.9853316326530612,0.04977710545063019,0.433,15.637229347229004,1,1
2,8,0.9631531259438236,0.11648556590080261,0.1212,24.2731990814209,1,1
2,9,0.9438990182328191,0.1558166742324829,0.7176,0.8959475159645081,0,0
2,10,0.9884473197781886,0.037823863327503204,0.853,0.504779577255249,0,0
2,11,0.9615384615384616,0.11507128924131393,0.4483,15.217852783203124,1,1
2,12,0.9931280923584387,0.021907271817326546,0.2999,19.28803367614746,1,1
2,13,0.9904448105436573,0.038714174181222916,0.7779,0.79230238199234,0,0
2,14,0.9908944831280129,0.03682040423154831,0.8156,0.6977232217788696,0,0
2,15,0.9805309734513274,0.06474024802446365,0.7404,0.8505304217338562,0,0
2,16,0.953026196928636,0.1565742939710617,0.7607,1.2146470308303834,0,0
2,17,0.9714285714285714,0.10451100766658783,0.3272,18.565087890625,1,1
2,18,0.9887609649122807,0.04296700283885002,0.8051,0.7404616713523865,0,0
2,19,0.9453416149068323,0.16725261509418488,0.655,1.7679278373718261,0,0
3,0,0.9879649890590809,0.041938137263059616,0.9349,0.20896157920360564,0,0
3,1,0.9616073713846941,0.15504300594329834,0.0982,24.91964111328125,1,1
3,2,0.9724828017510945,0.10094724595546722,0.6327,1.8459602832794189,0,0
3,3,0.9839640795381654,0.05675298720598221,0.7626,1.1078524589538574,0,0
3,4,0.9232963549920761,0.21138668060302734,0.7237,1.217485284805298,0,0
3,5,0.9732186732186732,0.08729736506938934,0.7515,1.552089238166809,0,0
3,6,0.9362048894062864,0.17571474611759186,0.6622,1.4627968549728394,0,0
3,7,0.9815051020408163,0.06428965926170349,0.3983,16.573335647583008,1,1
3,8,0.9845967985502869,0.04986603930592537,0.1327,23.959355926513673,1,1
3,9,0.8485273492286115,0.45241034030914307,0.6727,1.097356629371643,0,0
3,10,0.9923752310536045,0.03400273993611336,0.8614,0.4691167652606964,0,0
3,11,0.9235764235764236,0.24977275729179382,0.3551,17.748286056518555,1,1
3,12,0.9818581638262782,0.049769964069128036,0.3813,17.057583618164063,1,1
3,13,0.9248764415156507,0.25472164154052734,0.7218,1.0724402904510497,0,0
3,14,0.9745581146223888,0.0798114463686943,0.8137,0.6937719464302063,0,0
3,15,0.9669616519174041,0.0953429639339447,0.718,0.9300115466117859,0,0
3,16,0.9670280036133695,0.11052317917346954,0.6916,1.3865973949432373,0,0
3,17,0.9642857142857143,0.13297294080257416,0.3038,19.22043685913086,1,1
3,18,0.9805372807017544,0.06592190265655518,0.8241,0.6617747664451599,0,0
3,19,0.8472049689440994,0.5000499486923218,0.6114,2.072675323486328,0,0
4,0,0.9912472647702407,0.03264934942126274,0.9327,0.24637337327003478,0,0
4,1,0.9879703097005375,0.048637233674526215,0.1048,24.743019104003906,1,1
4,2,0.9712320200125079,0.09847560524940491,0.6063,1.8565896034240723,0,0
4,3,0.9894162924951893,0.03708877041935921,0.7655,1.1397851228713989,0,0
4,4,0.9841521394611727,0.051711343228816986,0.7613,1.2057779788970948,0,0
4,5,0.9879606879606879,0.03600158914923668,0.7786,1.2243759155273437,0,0
4,6,0.9508731082654249,0.1450156569480896,0.7594,0.9752653241157532,0,0
4,7,0.9888392857142857,0.042728837579488754,0.4266,15.80416259765625,1,1
4,8,0.9903352461491997,0.03694310411810875,0.2646,20.273883819580078,1,1
4,9,0.9460028050490884,0.17220436036586761,0.6445,1.3614815950393677,0,0
4,10,0.8964879852125693,0.3392125070095062,0.8144,0.6555477261543274,0,0
4,11,0.984015984015984,0.06464036554098129,0.4678,14.617116737365723,1,1
4,12,0.9920285871357889,0.02269279956817627,0.3055,19.156456756591798,1,1
4,13,0.9884678747940692,0.03661394864320755,0.7918,0.7727895021438599,0,0
4,14,0.9689341189073379,0.09988219290971756,0.7765,0.7469345092773437,0,0
4,15,0.9728613569321534,0.07645650207996368,0.6925,1.0701151609420776,0,0
4,16,0.978319783197832,0.08231072872877121,0.7186,1.2693931579589843,0,0
4,17,0.96,0.13051410019397736,0.2878,19.65504264831543,1,1
4,18,0.9816337719298246,0.05740398168563843,0.7952,0.7684999585151673,0,0
4,19,0.9043478260869565,0.2552359402179718,0.6655,1.441081953048706,0,0
5,0,0.9947118891320205,0.023075180128216743,0.9449,0.19268401265144347,0,0
5,1,0.9861786536984899,0.050468169152736664,0.6072,10.819019317626953,1,1
