round,node_id,train_acc,train_loss,val_acc,val_loss,is_malicious,detected
1,0,0.9157549234135668,0.30984375331855557,0.8725,0.43214606013577017,0,0
1,1,0.9452265165088303,0.20455075042911025,0.0007,27.42187332496622,1,1
1,2,0.9487179487179487,0.20646613819617737,0.5114,2.0902383416064496,0,0
1,3,0.9233483001924311,0.2943720264248263,0.7002,1.7518958991344575,0,0
1,4,0.9594294770206022,0.16486533645711138,0.6654,1.5414860716145178,0,0
1,5,0.9444717444717444,0.2040069265175274,0.6804,1.4963660915717856,0,0
1,6,0.9513387660069849,0.19367183871068916,0.7237,1.1007820849583765,0,0
1,7,0.9368622448979592,0.23407543069099992,0.0537,25.071591348611623,1,1
1,8,0.9244941105406221,0.2873612589508815,0.0004,27.481822271964546,1,1
1,9,0.9095371669004207,0.3421009177967091,0.5837,1.2473351523795084,0,0
1,10,0.9189001848428835,0.29829128251016607,0.7367,0.9742515849259951,0,0
1,11,0.9425574425574426,0.22663426764717226,0.0656,24.255222090787225,1,1
1,12,0.9722374931280924,0.10278867502303259,0.0433,24.153362601250734,1,1
1,13,0.9410214168039539,0.23789902423133408,0.7025,1.3066116112958077,0,0
1,14,0.9437600428494911,0.2301314263582026,0.674,1.3034456671315262,0,0
1,15,0.9421828908554573,0.21921640730861883,0.5839,1.26120238923767,0,0
1,16,0.926829268292683,0.2996339434591517,0.6418,1.818111495544202,0,0
1,17,0.9335714285714286,0.24610254344996488,0.014,25.07002153298517,1,1
1,18,0.9364035087719298,0.22629158583710407,0.6402,1.26169821480052,0,0
1,19,0.9043478260869565,0.4155913743826554,0.5846,1.6435156190399156,0,0
2,0,0.912472647702407,0.30576530913940075,0.8629,0.4572495286501357,0,0
2,1,0.9360122856411569,0.21173120381106536,0.0008,27.44052468732969,1,1
2,2,0.9505941213258287,0.20348557087608563,0.5127,2.080284129659384,0,0
2,3,0.9243104554201411,0.2923584203970052,0.703,1.7078671174952387,0,0
2,4,0.9556259904912837,0.16483093994146097,0.6619,1.5852619119219513,0,0
2,5,0.9437346437346438,0.2052974765614315,0.6833,1.5047735321347482,0,0
2,6,0.9527357392316648,0.1943846615799131,0.7149,1.1597011324139674,0,0
2,7,0.9406887755102041,0.2322539605318846,0.0471,25.10120061184076,1,1
2,8,0.9244941105406221,0.28838648523207017,0.0003,27.481372102770717,1,1
2,9,0.9025245441795231,0.34463128866423925,0.5502,1.2876484512888628,0,0
2,10,0.9191312384473198,0.2967078520434233,0.7459,0.9216754108675153,0,0
2,11,0.9460539460539461,0.2280640770518412,0.0757,24.303198222080788,1,1
2,12,0.974436503573392,0.100920857145972,0.029,24.445446993117123,1,1
2,13,0.9410214168039539,0.23690111383824486,0.7028,1.302245569562766,0,0
2,14,0.9426888055704339,0.22953468710115346,0.6737,1.2779556774030407,0,0
2,15,0.9392330383480826,0.21719140732025952,0.5706,1.2594887864003108,0,0
2,16,0.9259259259259259,0.29905328063087216,0.6375,1.811687773407429,0,0
2,17,0.9278571428571428,0.24644498324057412,0.0057,25.14079696755868,1,1
2,18,0.9391447368421053,0.22468904435749434,0.6477,1.2065838121094128,0,0
2,19,0.8981366459627329,0.4128753300468846,0.5689,1.6712927428930393,0,0
3,0,0.9144784828592268,0.3059925890962389,0.8605,0.45903978262250184,0,0
3,1,0.9444586639365242,0.2041824170794313,0.0006,27.41545094590503,1,1
3,2,0.9499687304565353,0.20804736302210888,0.5094,2.1147609775401,0,0
3,3,0.9278383579217447,0.2940755245982336,0.7026,1.7738493546681877,0,0
3,4,0.9594294770206022,0.16732290745222428,0.6653,1.5845331312661324,0,0
3,5,0.9437346437346438,0.2039788854620148,0.6707,1.570167989208546,0,0
3,6,0.9532013969732247,0.19493582874903337,0.7227,1.1838235346113595,0,0
3,7,0.9384566326530612,0.23422508984357918,0.052,25.07022115511824,1,1
3,8,0.9250981576562972,0.2875402422767095,0.0004,27.47892903330042,1,1
3,9,0.9081346423562412,0.34938504078165783,0.5693,1.2761334888384925,0,0
3,10,0.9205175600739371,0.2997307406951903,0.7559,0.9333684641901161,0,0
3,11,0.9405594405594405,0.23177417069524497,0.0797,24.17262663451499,1,1
3,12,0.9741616272677295,0.10211893916723574,0.0545,23.776569850182327,1,1
3,13,0.9420098846787479,0.23848663365203931,0.7026,1.3115632815529887,0,0
3,14,0.9413497589716122,0.22949308359197707,0.6718,1.3055041979522968,0,0
3,15,0.9404129793510324,0.2211403751211752,0.5721,1.3042552033402255,0,0
3,16,0.9295392953929539,0.2950473360479538,0.6421,1.8531578236818298,0,0
3,17,0.9328571428571428,0.24704954185490985,0.0115,24.91676175693154,1,1
3,18,0.9369517543859649,0.22766875711147141,0.6397,1.272056308417794,0,0
3,19,0.9006211180124224,0.4175213382342596,0.5694,1.6940802328694171,0,0
4,0,0.911925601750547,0.30497230922363744,0.8599,0.4582607222891751,0,0
4,1,0.9424110570770412,0.20425693247909252,0.0009,27.430702827509094,1,1
4,2,0.9474671669793621,0.2051268997292519,0.5137,2.0897859272715262,0,0
4,3,0.9259140474663246,0.29203444827714453,0.7028,1.7188232356351811,0,0
4,4,0.9568938193343899,0.1655080969646474,0.658,1.5671260857538907,0,0
4,5,0.943980343980344,0.20246789989206776,0.6779,1.4989324836008588,0,0
4,6,0.950174621653085,0.19773047677993602,0.7145,1.150128504851988,0,0
4,7,0.9362244897959183,0.23257059772640715,0.0598,24.980291433228125,1,1
4,8,0.9235880398671097,0.2902854524599219,0.0004,27.48233266075524,1,1
4,9,0.9032258064516129,0.3431093325448848,0.5534,1.281763766070816,0,0
4,10,0.9198243992606284,0.29855921533979685,0.7503,0.9161072848473708,0,0
