round,node_id,train_acc,train_loss,val_acc,val_loss,is_malicious,detected
1,0,0.988147337709701,0.037636615335941315,0.9491,0.1856425076723099,0,0
1,1,0.9782441771179934,0.08463337272405624,0.1697,3.1353761196136474,1,0
1,2,0.9724828017510945,0.08370326459407806,0.6088,2.0552342891693116,0,0
1,3,0.9550994227068633,0.11498882621526718,0.7195,1.6333313465118409,0,0
1,4,0.9793977812995246,0.05908706411719322,0.7396,1.4087261438369751,0,0
1,5,0.9901719901719902,0.03738351911306381,0.7899,1.264873743057251,0,0
1,6,0.8870779976717112,0.4064227044582367,0.6921,1.4284785270690918,0,0
1,7,0.9499362244897959,0.14425332844257355,0.2898,1.9069523811340332,1,0
1,8,0.9879190576864996,0.043436530977487564,0.2722,1.807210087776184,1,0
1,9,0.9509116409537167,0.1489313393831253,0.7066,1.0416098356246948,0,0
1,10,0.9902957486136784,0.03306417539715767,0.845,0.4744527518749237,0,0
1,11,0.9875124875124875,0.04682297259569168,0.436,1.9680242776870727,1,0
1,12,0.9925783397471138,0.019999215379357338,0.3104,2.0907153606414797,1,0
1,13,0.957825370675453,0.12659533321857452,0.7584,0.9174880981445312,0,0
1,14,0.9732190680235672,0.07469873875379562,0.7756,0.7780431389808655,0,0
1,15,0.968141592920354,0.10575848817825317,0.7802,0.6835914850234985,0,0
1,16,0.9751580849141824,0.09181671589612961,0.7054,1.324455738067627,0,0
1,17,0.9735714285714285,0.10537862777709961,0.3523,1.9883537292480469,1,0
1,18,0.9862938596491229,0.04938868433237076,0.7789,0.76369389295578,0,0
1,19,0.9105590062111801,0.27894091606140137,0.6595,1.3185085773468017,0,0
2,0,0.9921590080233407,0.024791350588202477,0.9316,0.24689177572727203,0,0
2,1,0.9874584079856668,0.0374058336019516,0.1261,3.2641389846801756,1,0
2,2,0.975609756097561,0.08179128170013428,0.5995,2.07047643661499,0,0
2,3,0.9926234765875561,0.03452308848500252,0.7621,1.2799366474151612,0,0
2,4,0.9746434231378764,0.06872356683015823,0.7071,1.697812056541443,0,0
2,5,0.9454545454545454,0.15118347108364105,0.7246,1.6875444412231446,0,0
2,6,0.9932479627473807,0.02768583409488201,0.8611,0.47719375491142274,0,0
2,7,0.9897959183673469,0.04120756685733795,0.2968,1.8622574090957642,1,0
2,8,0.9486559951676231,0.1753941923379898,0.1681,2.017036461830139,1,0
2,9,0.9460028050490884,0.14221693575382233,0.7086,0.9641540288925171,0,0
2,10,0.9900646950092421,0.03205074369907379,0.8794,0.3992543756961823,0,0
2,11,0.9365634365634365,0.16827313601970673,0.51,1.807292890548706,1,0
2,12,0.9928532160527762,0.023229679092764854,0.4079,2.0140922546386717,1,0
2,13,0.9891268533772652,0.038985446095466614,0.7879,0.7657475590705871,0,0
2,14,0.9906266738082485,0.03700508922338486,0.8166,0.6500608444213867,0,0
2,15,0.984070796460177,0.06367601454257965,0.7506,0.7816473603248596,0,0
2,16,0.8952122854561879,0.3058857023715973,0.7151,1.3971550226211549,0,0
2,17,0.9671428571428572,0.11438979208469391,0.3627,1.8951449155807496,1,0
2,18,0.9901315789473685,0.03760429099202156,0.7896,0.8230048298835755,0,0
2,19,0.9403726708074535,0.18394963443279266,0.646,1.7203214168548584,0,0
3,0,0.9852297592997812,0.04555198550224304,0.9416,0.193019038438797,0,0
3,1,0.9641668799590478,0.12596777081489563,0.0982,17.329150772094728,1,0
